"","tournament","prize","surface","round","p1_rank","p2_rank","p1_rank_move","p2_rank_move","p1_age","p2_age","p1_height","p2_height","p1_weight","p2_weight","p1_hand","p2_hand","p1_nat","p2_nat","no_sets","best_of"
"50","Sydney1",0.00781007798154198,"Hard","Roundof32",0.00961538461538462,0.0626506024096386,0.429545454545455,0.417753259779338,0.526315789473684,0.368421052631579,0.285714285714286,0.833333333333333,0.142857142857143,0.485714285714286,"Right","Right","USA","USA","X3","3"
"51","Sydney1",0.00781007798154198,"Hard","Roundof32",0.015625,0.043855421686747,0.437121212121212,0.409729187562688,0.736842105263158,0.789473684210526,0.285714285714286,0.666666666666667,0.285714285714286,0.485714285714286,"Right","Right","Oceania","Oceania","X2","3"
"52","Sydney1",0.00781007798154198,"Hard","Roundof32",0.0222355769230769,0.104578313253012,0.428030303030303,0.398194583751254,0.736842105263158,0.421052631578947,0.8,0.833333333333333,0.6,0.685714285714286,"Right","Right","USA","USA","X2","3"
"53","Sydney1",0.00781007798154198,"Hard","Roundof32",0.0234375,0.109879518072289,0.43030303030303,0.414242728184554,0.421052631578947,0.157894736842105,0.428571428571429,0.566666666666667,0.4,0.485714285714286,"Right","Right","Oceania","USA","X3","3"
"54","Sydney1",0.00781007798154198,"Hard","Roundof32",0.0270432692307692,0.113734939759036,0.474242424242424,0.397191574724172,0.789473684210526,0.421052631578947,0.714285714285714,0.233333333333333,0.657142857142857,0.171428571428571,"Right","Right","Asia","Oceania","X2","3"
"55","Sydney1",0.00781007798154198,"Hard","Roundof32",0.0673076923076923,0.111325301204819,0.427272727272727,0.413239719157472,0.526315789473684,0.105263157894737,0.657142857142857,0.233333333333333,0.542857142857143,0.657142857142857,"Right","Left","USA","Oceania","X3","3"
"56","Sydney1",0.00781007798154198,"Hard","Roundof32",0.0805288461538462,0.15855421686747,0.484848484848485,0.465897693079238,0.368421052631579,0.473684210526316,0.485714285714286,0.5,0.457142857142857,0.428571428571429,"Left","Left","USA","USA","X2","3"
"57","Sydney1",0.00781007798154198,"Hard","Roundof32",0.0522836538461538,0.0448192771084337,0.413636363636364,0.406218655967904,0.526315789473684,0.526315789473684,0.485714285714286,1,0.457142857142857,0.942857142857143,"Left","Right","Oceania","USA","X2","3"
"58","Sydney1",0.00781007798154198,"Hard","Roundof32",0.0649038461538462,0.100722891566265,0.441666666666667,0.412738214643932,0.157894736842105,0.421052631578947,0.142857142857143,0.4,0.342857142857143,0.657142857142857,"Right","Left","Oceania","Oceania","X2","3"
"59","Sydney1",0.00781007798154198,"Hard","Roundof32",0.0733173076923077,0.0197590361445783,0.407575757575758,0.410732196589769,0.473684210526316,0.473684210526316,0.142857142857143,0.5,0.0857142857142857,0.428571428571429,"Right","Right","USA","USA","X3","3"
